date,lat,lon,altitude,azimuth
2024-06-24T21:00:00Z,69.57,-138.91,0.7634522253514677,-0.10284624854340912
2024-06-24T22:00:00Z,69.57,-138.91,0.7576680538512663,0.2292561739704547
2024-06-24T23:00:00Z,69.57,-138.91,0.722908510059516,0.5517906293053371
2024-06-25T00:00:00Z,69.57,-138.91,0.6638885293258743,0.8550641989586812
2024-06-25T01:00:00Z,69.57,-138.91,0.5873615369475335,1.1363626184716316
2024-06-25T02:00:00Z,69.57,-138.91,0.5003583761763989,1.3983015271390737
2024-06-25T03:00:00Z,69.57,-138.91,0.4093066964338862,1.6459300327629691
2024-06-25T04:00:00Z,69.57,-138.91,0.3198626969033777,1.8846609794439713
2024-06-25T05:00:00Z,69.57,-138.91,0.2370319842441481,2.1192238351871358
2024-06-25T06:00:00Z,69.57,-138.91,0.16529548660092125,2.3532013722201786
