datetime,year,month,day,time_hour,wind_spd_km_h,stn_press_k_pa,wind_dir_deg,avg_air_rh_1m,lat,lon,altitude,azimuth
2024-06-24T11:00:00Z,2024,06,24,11:00:00,15,101.47,20,NA,69.57,-138.91,0.0829362565711421,-2.7357343866185757
2024-06-24T12:00:00Z,2024,06,24,12:00:00,19,101.48,20,NA,69.57,-138.91,0.12857900694105534,-2.4986462154075157
2024-06-24T13:00:00Z,2024,06,24,13:00:00,11,101.5,10,NA,69.57,-138.91,0.1913997636484703,-2.2638404023954593
2024-06-24T14:00:00Z,2024,06,24,14:00:00,NA,NA,NA,NA,69.57,-138.91,0.26783141855383236,-2.0299826590302525
2024-06-24T15:00:00Z,2024,06,24,15:00:00,21,101.5,40,NA,69.57,-138.91,0.3537067840382906,-1.7943167093576655
2024-06-24T16:00:00Z,2024,06,24,16:00:00,10,101.53,10,NA,69.57,-138.91,0.44435313688709854,-1.552788635941475
2024-06-24T17:00:00Z,2024,06,24,17:00:00,14,101.55,360,NA,69.57,-138.91,0.5345346325670675,-1.300332411822854
2024-06-24T18:00:00Z,2024,06,24,18:00:00,8,101.56,10,NA,69.57,-138.91,0.6183062688567762,-1.0315044504202249
2024-06-24T19:00:00Z,2024,06,24,19:00:00,8,101.59,30,NA,69.57,-138.91,0.6889599491047553,-0.7418792323548006
2024-06-24T20:00:00Z,2024,06,24,20:00:00,12,101.53,10,NA,69.57,-138.91,0.7394145238481155,-0.4305362096602377
2024-06-24T21:00:00Z,2024,06,24,21:00:00,24,101.51,40,NA,69.57,-138.91,0.7634522253514677,-0.10284624854340912
2024-06-24T22:00:00Z,2024,06,24,22:00:00,24,101.52,50,NA,69.57,-138.91,0.7576680538512663,0.2292561739704547
2024-06-24T23:00:00Z,2024,06,24,23:00:00,6,101.57,230,NA,69.57,-138.91,0.722908510059516,0.5517906293053371
2024-06-25T00:00:00Z,2024,06,25,00:00:00,9,101.58,110,NA,69.57,-138.91,0.6638885293258743,0.8550641989586812
2024-06-25T01:00:00Z,2024,06,25,01:00:00,0,101.57,NA,NA,69.57,-138.91,0.5873615369475335,1.1363626184716316
2024-06-25T02:00:00Z,2024,06,25,02:00:00,0,101.57,NA,NA,69.57,-138.91,0.5003583761763989,1.3983015271390735
2024-06-25T03:00:00Z,2024,06,25,03:00:00,0,101.57,NA,NA,69.57,-138.91,0.4093066964338862,1.6459300327629691
2024-06-25T04:00:00Z,2024,06,25,04:00:00,5,101.58,70,NA,69.57,-138.91,0.3198626969033777,1.8846609794439713
2024-06-25T05:00:00Z,2024,06,25,05:00:00,NA,NA,NA,NA,69.57,-138.91,0.2370319842441481,2.119223835187136
2024-06-25T06:00:00Z,2024,06,25,06:00:00,0,101.61,NA,NA,69.57,-138.91,0.16529548660092125,2.3532013722201786
2024-06-25T07:00:00Z,2024,06,25,07:00:00,0,101.62,NA,NA,69.57,-138.91,0.10861186054371348,2.5888150691810923
2024-06-25T08:00:00Z,2024,06,25,08:00:00,7,101.64,170,NA,69.57,-138.91,0.07026457785808124,2.8268564335550432
2024-06-25T09:00:00Z,2024,06,25,09:00:00,7,101.66,320,NA,69.57,-138.91,0.05259411766262217,3.0668174647806943
2024-06-25T10:00:00Z,2024,06,25,10:00:00,6,101.68,310,NA,69.57,-138.91,0.05671890494738143,-2.9758860459894865
2024-06-25T11:00:00Z,2024,06,25,11:00:00,0,101.7,NA,NA,69.57,-138.91,0.08237436981563562,-2.736513886453979
2024-06-25T12:00:00Z,2024,06,25,12:00:00,5,101.7,230,NA,69.57,-138.91,0.1279525292223981,-2.4993806557259743
2024-06-25T13:00:00Z,2024,06,25,13:00:00,0,101.73,NA,NA,69.57,-138.91,0.19072131532149672,-2.264536188804146
2024-06-25T14:00:00Z,2024,06,25,14:00:00,7,101.72,320,57.744,69.57,-138.91,0.2671144505779125,-2.030652107195955
2024-06-25T15:00:00Z,2024,06,25,15:00:00,6,101.72,190,43.128,69.57,-138.91,0.35296497831269397,-1.7949777173788914
2024-06-25T16:00:00Z,2024,06,25,16:00:00,6,101.72,210,49.45399999999999,69.57,-138.91,0.4436005752985928,-1.5534645583731206
2024-06-25T17:00:00Z,2024,06,25,17:00:00,0,101.73,NA,52.635000000000005,69.57,-138.91,0.5337866714333575,-1.301051974760386
2024-06-25T18:00:00Z,2024,06,25,18:00:00,13,101.67,170,49.635999999999996,69.57,-138.91,0.6175808653773076,-1.0323004398597395
2024-06-25T19:00:00Z,2024,06,25,19:00:00,4,101.67,350,53.254,69.57,-138.91,0.6882787105388793,-0.7427832495003576
2024-06-25T20:00:00Z,2024,06,25,20:00:00,4,101.7,130,52.336,69.57,-138.91,0.7388018336729223,-0.4315667853215942
2024-06-25T21:00:00Z,2024,06,25,21:00:00,7,101.71,10,58.4695,69.57,-138.91,0.7629304057832582,-0.10399365117679812
2024-06-25T22:00:00Z,2024,06,25,22:00:00,4,101.72,50,57.1655,69.57,-138.91,0.7572491911515719,0.2280339352367921
2024-06-25T23:00:00Z,2024,06,25,23:00:00,6,101.73,160,59.8865,69.57,-138.91,0.7225886048945447,0.5505497471301926
2024-06-26T00:00:00Z,2024,06,26,00:00:00,10,101.71,160,64.2555,69.57,-138.91,0.6636490789798373,0.8538494573505264
2024-06-26T01:00:00Z,2024,06,26,01:00:00,8,101.7,150,72.0725,69.57,-138.91,0.5871762452733755,1.135196120903708
2024-06-26T02:00:00Z,2024,06,26,02:00:00,11,101.68,160,77.17,69.57,-138.91,0.5001993655010605,1.3971869274529582
2024-06-26T03:00:00Z,2024,06,26,03:00:00,12,101.64,160,82.7355,69.57,-138.91,0.40914781614220336,1.64486145914403
2024-06-26T04:00:00Z,2024,06,26,04:00:00,NA,NA,NA,79.765,69.57,-138.91,0.31968063738278957,1.8836300774487371
2024-06-26T05:00:00Z,2024,06,26,05:00:00,11,101.62,160,78.6885,69.57,-138.91,0.2368065290477732,2.1182239577530684
2024-06-26T06:00:00Z,2024,06,26,06:00:00,NA,NA,NA,75.4025,69.57,-138.91,0.1650097661093711,2.35222974571945
2024-06-26T07:00:00Z,2024,06,26,07:00:00,16,101.59,160,72.91999999999999,69.57,-138.91,0.1082529387093748,2.587873555669023
2024-06-26T08:00:00Z,2024,06,26,08:00:00,NA,NA,NA,68.52600000000001,69.57,-138.91,0.06982429481675553,2.8259509970678227
2024-06-26T09:00:00Z,2024,06,26,09:00:00,NA,NA,NA,68.41499999999999,69.57,-138.91,0.05206981048590455,3.0659563128328697
2024-06-26T10:00:00Z,2024,06,26,10:00:00,NA,NA,NA,65.9145,69.57,-138.91,0.05611352186503839,-2.9766953005841845
2024-06-26T11:00:00Z,2024,06,26,11:00:00,23,101.53,160,64.522,69.57,-138.91,0.081695699389388,-2.737267151824428
2024-06-26T12:00:00Z,2024,06,26,12:00:00,24,101.52,160,67.3265,69.57,-138.91,0.12721170850415897,-2.500079382117021
2024-06-26T13:00:00Z,2024,06,26,13:00:00,22,101.51,160,68.2515,69.57,-138.91,0.18993114804772904,-2.2651880762128656
2024-06-26T14:00:00Z,2024,06,26,14:00:00,12,101.5,170,60.908,69.57,-138.91,0.266288106697182,-2.031270889505409
2024-06-26T15:00:00Z,2024,06,26,15:00:00,20,101.48,160,64.97300000000001,69.57,-138.91,0.35211541991070494,-1.79558278886629
2024-06-26T16:00:00Z,2024,06,26,16:00:00,21,101.45,160,63.3685,69.57,-138.91,0.4427407992732718,-1.554080987956997
2024-06-26T17:00:00Z,2024,06,26,17:00:00,8,101.46,170,61.2345,69.57,-138.91,0.5329307064585941,-1.3017107673815884
2024-06-26T18:00:00Z,2024,06,26,18:00:00,14,101.43,160,63.227000000000004,69.57,-138.91,0.6167453065001676,-1.0330377372525952
2024-06-26T19:00:00Z,2024,06,26,19:00:00,13,101.43,160,60.618,69.57,-138.91,0.6874841166774106,-0.7436355259894527
2024-06-26T20:00:00Z,2024,06,26,20:00:00,15,101.4,160,55.920500000000004,69.57,-138.91,0.738072324352542,-0.4325586829810299
2024-06-26T21:00:00Z,2024,06,26,21:00:00,15,101.39,170,60.043499999999995,69.57,-138.91,0.7622891623030809,-0.10512099034606502
2024-06-26T22:00:00Z,2024,06,26,22:00:00,17,101.36,170,62.1025,69.57,-138.91,0.7567100432148728,0.22681097408132403
2024-06-26T23:00:00Z,2024,06,26,23:00:00,4,101.36,140,65.56049999999999,69.57,-138.91,0.722149313557358,0.5492898650584097
2024-06-27T00:00:00Z,2024,06,27,00:00:00,3,101.33,150,71.914,69.57,-138.91,0.6632921047835498,0.852602957182543
2024-06-27T01:00:00Z,2024,06,27,01:00:00,13,101.31,160,79.244,69.57,-138.91,0.5868752830580093,1.1339909577624567
2024-06-27T02:00:00Z,2024,06,27,02:00:00,22,101.26,160,83.7105,69.57,-138.91,0.4999258743550371,1.3960314521402186
2024-06-27T03:00:00Z,2024,06,27,03:00:00,19,101.22,160,88.935,69.57,-138.91,0.4088747357493712,1.6437531783955972
2024-06-27T04:00:00Z,2024,06,27,04:00:00,11,101.22,160,88.0565,69.57,-138.91,0.31938380372898445,1.882563088316928
2024-06-27T05:00:00Z,2024,06,27,05:00:00,12,101.2,160,89.1585,69.57,-138.91,0.2364651134701676,2.117193556059893
2024-06-27T06:00:00Z,2024,06,27,06:00:00,6,101.2,180,81.9265,69.57,-138.91,0.16460663995934113,2.351234849820663
2024-06-27T07:00:00Z,2024,06,27,07:00:00,7,101.2,150,73.306,69.57,-138.91,0.10777531449566462,2.586917536367353
2024-06-27T08:00:00Z,2024,06,27,08:00:00,6,101.19,150,66.9315,69.57,-138.91,0.06926455860096985,2.8250410497962064
2024-06-27T09:00:00Z,2024,06,27,09:00:00,10,101.19,170,60.321,69.57,-138.91,0.05142614942919302,3.065101417659121
2024-06-27T10:00:00Z,2024,06,27,10:00:00,13,101.17,160,60.079,69.57,-138.91,0.05538986255238989,-2.977487373390606
2024-06-27T11:00:00Z,2024,06,27,11:00:00,22,101.16,160,53.400499999999994,69.57,-138.91,0.08090071602081064,-2.737992794264914
2024-06-27T12:00:00Z,2024,06,27,12:00:00,23,101.14,160,57.805499999999995,69.57,-138.91,0.12635712883066053,-2.500741038806346
2024-06-27T13:00:00Z,2024,06,27,13:00:00,22,101.12,160,63.6155,69.57,-138.91,0.1890299414176355,-2.265794737172327
2024-06-27T14:00:00Z,2024,06,27,14:00:00,21,101.09,160,63.075500000000005,69.57,-138.91,0.26535314069649774,-2.0318376940615925
2024-06-27T15:00:00Z,2024,06,27,15:00:00,14,101.06,80,63.412499999999994,69.57,-138.91,0.35115891283958983,-1.7961306046628664
2024-06-27T16:00:00Z,2024,06,27,16:00:00,20,101.05,150,54.781499999999994,69.57,-138.91,0.4417746365831969,-1.5546365635811856
2024-06-27T17:00:00Z,2024,06,27,17:00:00,18,101.02,150,53.3685,69.57,-138.91,0.5319675590642454,-1.3023073384973969
2024-06-27T18:00:00Z,2024,06,27,18:00:00,10,101.02,180,50.3685,69.57,-138.91,0.615800371165108,-1.0337147404813456
2024-06-27T19:00:00Z,2024,06,27,19:00:00,7,101.01,190,53.399,69.57,-138.91,0.6865768593742698,-0.7444342449299037
2024-06-27T20:00:00Z,2024,06,27,20:00:00,8,100.98,200,55.133,69.57,-138.91,0.7372265486472028,-0.4335098335290277
2024-06-27T21:00:00Z,2024,06,27,21:00:00,8,100.95,180,57.9535,69.57,-138.91,0.761528860160959,-0.10622597767902447
2024-06-27T22:00:00Z,2024,06,27,22:00:00,11,100.92,160,56.6905,69.57,-138.91,0.7560507637259575,0.2255896793870839
2024-06-27T23:00:00Z,2024,06,27,23:00:00,6,100.91,170,63.09100000000001,69.57,-138.91,0.7215905929885637,0.5480133241192849
2024-06-28T00:00:00Z,2024,06,28,00:00:00,4,100.91,100,65.691,69.57,-138.91,0.6628174132296154,0.8513268906227937
2024-06-28T01:00:00Z,2024,06,28,01:00:00,12,100.84,150,69.866,69.57,-138.91,0.5864583639807163,1.1327491421482545
2024-06-28T02:00:00Z,2024,06,28,02:00:00,18,100.8,150,74.77250000000001,69.57,-138.91,0.4995375774736775,1.3948369520348134
2024-06-28T03:00:00Z,2024,06,28,03:00:00,22,100.75,160,81.711,69.57,-138.91,0.4084871359060856,1.6426069134652328
2024-06-28T04:00:00Z,2024,06,28,04:00:00,18,100.74,180,80.554,69.57,-138.91,0.31897191856060364,1.8814616421433292
2024-06-28T05:00:00Z,2024,06,28,05:00:00,14,100.68,170,78.713,69.57,-138.91,0.23600753117000817,2.1161341958329185
2024-06-28T06:00:00Z,2024,06,28,06:00:00,18,100.65,160,78.53999999999999,69.57,-138.91,0.16408599613406266,2.350218206331864
2024-06-28T07:00:00Z,2024,06,28,07:00:00,17,100.62,160,76.24549999999999,69.57,-138.91,0.10717898831808452,2.585948501337631
2024-06-28T08:00:00Z,2024,06,28,08:00:00,15,100.57,160,76.16749999999999,69.57,-138.91,0.06858549465796296,2.82412805526037
2024-06-28T09:00:00Z,2024,06,28,09:00:00,13,100.53,160,75.4975,69.57,-138.91,0.05066339152974235,3.0642542156507258
2024-06-28T10:00:00Z,2024,06,28,10:00:00,6,100.51,160,72.3445,69.57,-138.91,0.05454831554671752,-2.9782608592923623
2024-06-28T11:00:00Z,2024,06,28,11:00:00,11,100.47,160,67.5655,69.57,-138.91,0.07998993287594254,-2.738689444707063
2024-06-28T12:00:00Z,2024,06,28,12:00:00,5,100.44,160,67.94399999999999,69.57,-138.91,0.12538941492820202,-2.5013642948456587
2024-06-28T13:00:00Z,2024,06,28,13:00:00,8,100.43,140,63.15050000000001,69.57,-138.91,0.18801841373659292,-2.2663548749544615
2024-06-28T14:00:00Z,2024,06,28,14:00:00,6,100.38,50,54.309,69.57,-138.91,0.2643103430323693,-2.0323512461965403
2024-06-28T15:00:00Z,2024,06,28,15:00:00,7,100.36,240,44.702,69.57,-138.91,0.35009629600018416,-1.7966198897460872
2024-06-28T16:00:00Z,2024,06,28,16:00:00,6,100.34,320,39.569,69.57,-138.91,0.4407029487032752,-1.55512997562086
2024-06-28T17:00:00Z,2024,06,28,17:00:00,12,100.38,10,37.575500000000005,69.57,-138.91,0.5308980843166754,-1.3028402955227365
2024-06-28T18:00:00Z,2024,06,28,18:00:00,25,100.41,20,42.927,69.57,-138.91,0.6147468734865525,-1.0343299116176503
2024-06-28T19:00:00Z,2024,06,28,19:00:00,18,100.43,20,43.786500000000004,69.57,-138.91,0.6855576690122438,-0.7451776548590893
2024-06-28T20:00:00Z,2024,06,28,20:00:00,22,100.44,30,49.566,69.57,-138.91,0.7362651025518538,-0.4344182262218157
2024-06-28T21:00:00Z,2024,06,28,21:00:00,24,100.41,30,46.9315,69.57,-138.91,0.7606499123734441,-0.10730636617075036
2024-06-28T22:00:00Z,2024,06,28,22:00:00,29,100.4,40,49.153,69.57,-138.91,0.755271556779817,0.2243724218942556
2024-06-28T23:00:00Z,2024,06,28,23:00:00,34,100.48,10,53.083,69.57,-138.91,0.7209124507627237,0.546722468075703
2024-06-29T00:00:00Z,2024,06,29,00:00:00,28,100.52,10,55.928,69.57,-138.91,0.662224860200762,0.8500234655528163
2024-06-29T01:00:00Z,2024,06,29,01:00:00,26,100.57,10,62.9535,69.57,-138.91,0.5859252496520252,1.1314727078818514
2024-06-29T02:00:00Z,2024,06,29,02:00:00,28,100.6,20,66.3585,69.57,-138.91,0.4990341965438048,1.3936052982979303
2024-06-29T03:00:00Z,2024,06,29,03:00:00,28,100.6,10,70.412,69.57,-138.91,0.40798474378601046,1.6414244043978898
2024-06-29T04:00:00Z,2024,06,29,04:00:00,33,100.61,10,75.4385,69.57,-138.91,0.3184447510158509,1.8803273814419688
2024-06-29T05:00:00Z,2024,06,29,05:00:00,34,100.63,10,75.1155,69.57,-138.91,0.2354336223855151,2.1150474502031957
2024-06-29T06:00:00Z,2024,06,29,06:00:00,36,100.67,360,74.644,69.57,-138.91,0.16344776920040707,2.3491813392410856
2024-06-29T07:00:00Z,2024,06,29,07:00:00,40,100.71,360,68.343,69.57,-138.91,0.1064640068567251,2.584967938014582
2024-06-29T08:00:00Z,2024,06,29,08:00:00,35,100.71,360,72.04650000000001,69.57,-138.91,0.06778727408672057,2.8232134696635103
2024-06-29T09:00:00Z,2024,06,29,09:00:00,42,100.74,360,72.535,69.57,-138.91,0.04978183851727379,3.063416131414807
2024-06-29T10:00:00Z,2024,06,29,10:00:00,38,100.76,360,74.8295,69.57,-138.91,0.05358931278935649,-2.979014369538339
2024-06-29T11:00:00Z,2024,06,29,11:00:00,39,100.83,360,73.839,69.57,-138.91,0.07896390491307576,-2.7393557553008083
2024-06-29T12:00:00Z,2024,06,29,12:00:00,44,100.85,360,72.504,69.57,-138.91,0.12430923140654498,-2.501947845833108
2024-06-29T13:00:00Z,2024,06,29,13:00:00,47,100.88,350,75.6465,69.57,-138.91,0.18689732106190132,-2.266867225282559
2024-06-29T14:00:00Z,2024,06,29,14:00:00,45,100.94,350,73.2405,69.57,-138.91,0.2631605397470311,-2.032810310138472
2024-06-29T15:00:00Z,2024,06,29,15:00:00,39,100.95,360,74.05199999999999,69.57,-138.91,0.348928441920853,-1.7970494150771883
2024-06-29T16:00:00Z,2024,06,29,16:00:00,36,100.96,350,70.9765,69.57,-138.91,0.4395266294842467,-1.555559967779441
2024-06-29T17:00:00Z,2024,06,29,17:00:00,35,101,350,67.89949999999999,69.57,-138.91,0.5297231695084937,-1.303308306606336
2024-06-29T18:00:00Z,2024,06,29,18:00:00,36,101.03,350,73.6455,69.57,-138.91,0.6135856613400147,-1.034881779405631
2024-06-29T19:00:00Z,2024,06,29,19:00:00,29,101.07,360,76.72,69.57,-138.91,0.6844273131556963,-0.7458640729380464
2024-06-29T20:00:00Z,2024,06,29,20:00:00,29,101.05,360,80.7925,69.57,-138.91,0.7351886241517148,-0.4352819128756443
2024-06-29T21:00:00Z,2024,06,29,21:00:00,14,101.13,350,82.5745,69.57,-138.91,0.7596527789655502,-0.10835995514956608
2024-06-29T22:00:00Z,2024,06,29,22:00:00,22,101.16,360,80.012,69.57,-138.91,0.7543726766025667,0.22316154874247648
2024-06-29T23:00:00Z,2024,06,29,23:00:00,20,101.17,360,76.53999999999999,69.57,-138.91,0.72011494525154,0.5454196382008144
