location_id,datetime,total_duration_above_threshold,time_of_day,week,date_utc,microclimate2
BEEBOX,2024-07-03T17:00:00Z,7.199999999999999,10:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T17:30:00Z,0.15,10:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T18:00:00Z,1.7999999999999998,11:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T18:30:00Z,16.05,11:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T19:00:00Z,1.5,12:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T19:30:00Z,2.4,12:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T20:00:00Z,2.85,13:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T20:30:00Z,7.949999999999999,13:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T21:00:00Z,28.65,14:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T21:30:00Z,12.75,14:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T22:00:00Z,13.95,15:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T22:30:00Z,18.15,15:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T23:00:00Z,11.55,16:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T23:30:00Z,9.75,16:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-04T00:00:00Z,5.85,17:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T00:30:00Z,6.75,17:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T01:00:00Z,0.6,18:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T01:30:00Z,6.3,18:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T02:00:00Z,10.5,19:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T02:30:00Z,8.85,19:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T03:00:00Z,12.6,20:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T03:30:00Z,9.9,20:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T04:00:00Z,13.05,21:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T04:30:00Z,5.1,21:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T05:00:00Z,4.95,22:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T05:30:00Z,4.95,22:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T06:00:00Z,5.25,23:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
